User,Tweets Ago,Date,Compound,Positive,Negative,Neutral,Tweet Text
BBCNews,1,Sun Nov 05 23:15:46 +0000 2017,-0.0516,0.0,0.085,0.915,"Monday's Mail: ""Queen Dragged Into £10m Offshore Tax Row"" https://t.co/59qLMsMYG1 #bbcpapers #tomorrowspaperstoday (via @AllieHBNews)"
BBCNews,2,Sun Nov 05 22:52:01 +0000 2017,-0.4404,0.0,0.209,0.791,"Monday's Mirror: ""Queen's £10m Tax Haven Scandal"" https://t.co/PMTUvzjGA3 #bbcpapers #tomorrowspaperstoday (via @AllieHBNews)"
BBCNews,3,Sun Nov 05 22:49:02 +0000 2017,0.0,0.0,0.0,1.0,"Monday's Times: ""Queen invested millions in offshore tax havens"" https://t.co/mqFuOGvdvM #bbcpapers #tomorrowspaperstoday (via @AllieHBNews)"
BBCNews,4,Sun Nov 05 22:44:03 +0000 2017,0.4939,0.186,0.0,0.814,"Monday's i: ""Queen's personal wealth is invested in Cayman tax haven"" https://t.co/oIK4YPyZIJ #bbcpapers (via @AllieHBNews)"
BBCNews,5,Sun Nov 05 22:40:04 +0000 2017,-0.8402,0.0,0.455,0.545,"Monday's Guardian: ""Queen's cash invested in controversial retailer accused of exploiting the poor"" https://t.co/tzT5anXYCe via @AllieHBNews"
BBCNews,6,Sun Nov 05 22:36:26 +0000 2017,0.0,0.0,0.0,1.0,"Monday's Metro: ""Massacre At Church"" https://t.co/rnuGhX2ppR #bbcpapers #tomorrowspaperstoday (via @AllieHBNews)"
BBCNews,7,Sun Nov 05 22:36:09 +0000 2017,-0.0772,0.158,0.176,0.667,"Monday's Telegraph: ""Sex scandal will 'clear out' ministers"" https://t.co/z3dGcT3zjL #bbcpapers #tomorrowspaperstoday (via @AllieHBNews)"
BBCNews,8,Sun Nov 05 22:28:53 +0000 2017,0.6179,0.229,0.0,0.771,RT @BBCPanorama: Don't miss our must-see investigation into the offshore secrets of the rich - now on iPlayer. #paradisepapers. https://t.c…
BBCNews,9,Sun Nov 05 22:16:14 +0000 2017,-0.34,0.0,0.112,0.888,"RT @BBCSport: Three players have been released from Scotland's #RLWC squad after being deemed too drunk to board a flight.

https://t.co/Vy…"
BBCNews,10,Sun Nov 05 22:14:05 +0000 2017,0.0,0.0,0.0,1.0,"Monday's Express: ""Icy Blast To Sweep Britain"" https://t.co/xryvwkd8Ju #bbcpapers #tomorrowspaperstoday (via @AllieHBNews)"
BBCNews,11,Sun Nov 05 22:14:05 +0000 2017,-0.6249,0.0,0.272,0.728,"Monday's Star: ""Strictly Shirley In Fix Crisis"" https://t.co/l7ZnzH6IAt #bbcpapers #tomorrowspaperstoday (via @AllieHBNews)"
BBCNews,12,Sun Nov 05 22:11:05 +0000 2017,-0.4767,0.0,0.181,0.819,"Monday's FT: ""Princes and tycoons arrested in Saudi crackdown on corruption"" https://t.co/jqKtx7VV2n #bbcpapers (via @AllieHBNews)"
BBCNews,13,Sun Nov 05 22:00:39 +0000 2017,0.4019,0.13,0.0,0.87,"RT @BBCWorld: Don't know your ""double Irish"" from a ""drawdown""? 

Our jargon-busting guide to #ParadisePapers key terms will help

https://…"
BBCNews,14,Sun Nov 05 21:38:20 +0000 2017,-0.5106,0.0,0.231,0.769,"RT @BBCWorld: Are we failing to tame offshore finance? 

https://t.co/1GGw486DAM #ParadisePapers https://t.co/kAfXTtzys0"
BBCNews,15,Sun Nov 05 21:07:50 +0000 2017,0.6369,0.344,0.0,0.656,Paradise Papers: Lord Ashcroft stayed non-dom despite pledges https://t.co/x2t8ETV4zN
BBCNews,16,Sun Nov 05 21:05:52 +0000 2017,-0.9001,0.036,0.365,0.599,"RT @BBCOurWorld: Enslaved by ISIS or forced to fight for ISIS: the children &amp; families uprooted by war. ""Escaping ISIS""
on the BBC News Cha…"
BBCNews,17,Sun Nov 05 20:28:59 +0000 2017,0.0,0.0,0.0,1.0,"RT @BBCBreaking: The Queen’s private estate has invested about £10m offshore, #ParadisePapers reveal https://t.co/mJlCewkM8b https://t.co/o…"
BBCNews,18,Sun Nov 05 19:46:54 +0000 2017,-0.0772,0.0,0.157,0.843,"#ParadisePapers: Tax haven secrets of ultra-rich exposed

https://t.co/JlLpynSnjq"
BBCNews,19,Sun Nov 05 19:29:45 +0000 2017,0.0,0.0,0.0,1.0,"RT @vicderbyshire: The Queen, an off-shore haven and Brighthouse https://t.co/FVvqZK4PWp #paradisepapers"
BBCNews,20,Sun Nov 05 19:02:28 +0000 2017,0.5574,0.175,0.0,0.825,RT @BBCPanorama: Watch our #paradisepapers investigation into the offshore secrets of the rich &amp; famous on iPlayer.  https://t.co/MIH4CMbhZ…
BBCNews,21,Sun Nov 05 23:15:46 +0000 2017,-0.0516,0.0,0.085,0.915,"Monday's Mail: ""Queen Dragged Into £10m Offshore Tax Row"" https://t.co/59qLMsMYG1 #bbcpapers #tomorrowspaperstoday (via @AllieHBNews)"
BBCNews,22,Sun Nov 05 22:52:01 +0000 2017,-0.4404,0.0,0.209,0.791,"Monday's Mirror: ""Queen's £10m Tax Haven Scandal"" https://t.co/PMTUvzjGA3 #bbcpapers #tomorrowspaperstoday (via @AllieHBNews)"
BBCNews,23,Sun Nov 05 22:49:02 +0000 2017,0.0,0.0,0.0,1.0,"Monday's Times: ""Queen invested millions in offshore tax havens"" https://t.co/mqFuOGvdvM #bbcpapers #tomorrowspaperstoday (via @AllieHBNews)"
BBCNews,24,Sun Nov 05 22:44:03 +0000 2017,0.4939,0.186,0.0,0.814,"Monday's i: ""Queen's personal wealth is invested in Cayman tax haven"" https://t.co/oIK4YPyZIJ #bbcpapers (via @AllieHBNews)"
BBCNews,25,Sun Nov 05 22:40:04 +0000 2017,-0.8402,0.0,0.455,0.545,"Monday's Guardian: ""Queen's cash invested in controversial retailer accused of exploiting the poor"" https://t.co/tzT5anXYCe via @AllieHBNews"
BBCNews,26,Sun Nov 05 22:36:26 +0000 2017,0.0,0.0,0.0,1.0,"Monday's Metro: ""Massacre At Church"" https://t.co/rnuGhX2ppR #bbcpapers #tomorrowspaperstoday (via @AllieHBNews)"
BBCNews,27,Sun Nov 05 22:36:09 +0000 2017,-0.0772,0.158,0.176,0.667,"Monday's Telegraph: ""Sex scandal will 'clear out' ministers"" https://t.co/z3dGcT3zjL #bbcpapers #tomorrowspaperstoday (via @AllieHBNews)"
BBCNews,28,Sun Nov 05 22:28:53 +0000 2017,0.6179,0.229,0.0,0.771,RT @BBCPanorama: Don't miss our must-see investigation into the offshore secrets of the rich - now on iPlayer. #paradisepapers. https://t.c…
BBCNews,29,Sun Nov 05 22:16:14 +0000 2017,-0.34,0.0,0.112,0.888,"RT @BBCSport: Three players have been released from Scotland's #RLWC squad after being deemed too drunk to board a flight.

https://t.co/Vy…"
BBCNews,30,Sun Nov 05 22:14:05 +0000 2017,0.0,0.0,0.0,1.0,"Monday's Express: ""Icy Blast To Sweep Britain"" https://t.co/xryvwkd8Ju #bbcpapers #tomorrowspaperstoday (via @AllieHBNews)"
BBCNews,31,Sun Nov 05 22:14:05 +0000 2017,-0.6249,0.0,0.272,0.728,"Monday's Star: ""Strictly Shirley In Fix Crisis"" https://t.co/l7ZnzH6IAt #bbcpapers #tomorrowspaperstoday (via @AllieHBNews)"
BBCNews,32,Sun Nov 05 22:11:05 +0000 2017,-0.4767,0.0,0.181,0.819,"Monday's FT: ""Princes and tycoons arrested in Saudi crackdown on corruption"" https://t.co/jqKtx7VV2n #bbcpapers (via @AllieHBNews)"
BBCNews,33,Sun Nov 05 22:00:39 +0000 2017,0.4019,0.13,0.0,0.87,"RT @BBCWorld: Don't know your ""double Irish"" from a ""drawdown""? 

Our jargon-busting guide to #ParadisePapers key terms will help

https://…"
BBCNews,34,Sun Nov 05 21:38:20 +0000 2017,-0.5106,0.0,0.231,0.769,"RT @BBCWorld: Are we failing to tame offshore finance? 

https://t.co/1GGw486DAM #ParadisePapers https://t.co/kAfXTtzys0"
BBCNews,35,Sun Nov 05 21:07:50 +0000 2017,0.6369,0.344,0.0,0.656,Paradise Papers: Lord Ashcroft stayed non-dom despite pledges https://t.co/x2t8ETV4zN
BBCNews,36,Sun Nov 05 21:05:52 +0000 2017,-0.9001,0.036,0.365,0.599,"RT @BBCOurWorld: Enslaved by ISIS or forced to fight for ISIS: the children &amp; families uprooted by war. ""Escaping ISIS""
on the BBC News Cha…"
BBCNews,37,Sun Nov 05 20:28:59 +0000 2017,0.0,0.0,0.0,1.0,"RT @BBCBreaking: The Queen’s private estate has invested about £10m offshore, #ParadisePapers reveal https://t.co/mJlCewkM8b https://t.co/o…"
BBCNews,38,Sun Nov 05 19:46:54 +0000 2017,-0.0772,0.0,0.157,0.843,"#ParadisePapers: Tax haven secrets of ultra-rich exposed

https://t.co/JlLpynSnjq"
BBCNews,39,Sun Nov 05 19:29:45 +0000 2017,0.0,0.0,0.0,1.0,"RT @vicderbyshire: The Queen, an off-shore haven and Brighthouse https://t.co/FVvqZK4PWp #paradisepapers"
BBCNews,40,Sun Nov 05 19:02:28 +0000 2017,0.5574,0.175,0.0,0.825,RT @BBCPanorama: Watch our #paradisepapers investigation into the offshore secrets of the rich &amp; famous on iPlayer.  https://t.co/MIH4CMbhZ…
BBCNews,41,Sun Nov 05 19:02:17 +0000 2017,0.0,0.0,0.0,1.0,"RT @BBCBreaking: Did oligarch, Alisher Usmanov, break @premierleague rules with stakes in both @arsenal &amp; @everton? https://t.co/eGNFIQI2qN…"
BBCNews,42,Sun Nov 05 18:52:21 +0000 2017,0.5523,0.186,0.0,0.814,RT @BBCPanorama: Thanks everyone for watching &amp; for all your comments. Don't forget to watch our second investigation tomorrow night at 9pm…
BBCNews,43,Sun Nov 05 18:47:12 +0000 2017,0.4019,0.184,0.0,0.816,RT @BBCJamesCook: The leader of Britain's Labour Party reacts to the #ParadisePapers... https://t.co/NTV3JpB2hc
BBCNews,44,Sun Nov 05 18:41:57 +0000 2017,-0.5267,0.0,0.134,0.866,"RT @BBCSport: FT Everton 3-2 Watford

What a comeback from the Toffees.  2-0 down but they fight back to take all three points.

https://t.…"
BBCNews,45,Sun Nov 05 18:41:48 +0000 2017,0.6597,0.234,0.073,0.693,"RT @5liveSport: FT: 

Morata's goal wins it for #CFC

""Conte asked for determination and hunger and he got it"" - @Fizzer18

#CHEMUN 
https:…"
BBCNews,46,Sun Nov 05 18:41:21 +0000 2017,-0.1779,0.0,0.159,0.841,"RT @BBCWorld: How to hide your cash

https://t.co/lig25C5o6s

#ParadisePapers https://t.co/i5nToqlubZ"
BBCNews,47,Sun Nov 05 18:39:23 +0000 2017,0.0,0.0,0.0,1.0,"Live #ParadisePapers updates: https://t.co/pETCL01Jmt

Twitter list of BBC journalists covering the story: https://t.co/LrMOZLRSjP"
BBCNews,48,Sun Nov 05 18:25:40 +0000 2017,-0.0772,0.116,0.181,0.704,"RT @BBCBreaking: Huge #ParadisePapers investigation:

• Tax affairs of 100+ public figures exposed
• 13.4m documents leaked

Latest: https:…"
BBCNews,49,Sun Nov 05 18:21:31 +0000 2017,-0.1027,0.0,0.076,0.924,Lord Ashcroft secretly remained a non-dom despite attempts by MPs to make peers pay full UK tax https://t.co/dmUeANyRSa #ParadisePapers
BBCNews,50,Sun Nov 05 18:13:34 +0000 2017,-0.5267,0.0,0.274,0.726,BT Openreach van effigy set alight by frustrated villagers https://t.co/7fW5yZh9qC
BBCNews,51,Sun Nov 05 18:04:14 +0000 2017,0.5994,0.336,0.104,0.56,Paradise Papers: Tax haven secrets of ultra-rich exposed https://t.co/0P5jsNGLGv
BBCNews,52,Sun Nov 05 17:57:40 +0000 2017,0.0,0.0,0.0,1.0,Police officers mown down in Wolverhampton hit-and-run https://t.co/N00C0Ej4zH
BBCNews,53,Sun Nov 05 17:27:19 +0000 2017,0.781,0.272,0.0,0.728,RT @BBCPanorama: Don't miss our latest investigation into the hidden offshore world of the rich &amp; powerful - coming up at 6pm on @BBCOne. h…
BBCNews,54,Sun Nov 05 16:33:05 +0000 2017,0.0,0.0,0.0,1.0,RT @BBCWorld: The evolving world of emojis 👍🏻 https://t.co/v3WaJfqvik
BBCNews,55,Sun Nov 05 16:19:28 +0000 2017,0.3612,0.238,0.0,0.762,Corbyn defends promoting MP Kelvin Hopkins despite reprimand https://t.co/vtNIWa9RPp
BBCNews,56,Sun Nov 05 16:13:11 +0000 2017,0.128,0.176,0.0,0.824,BBC extends Met Office weather forecast contract https://t.co/BX2C9rztf1
BBCNews,57,Sun Nov 05 16:07:40 +0000 2017,0.802,0.301,0.0,0.699,"RT @BBCSport: FT Man City 3-1 Arsenal 

Another game, another win for #MCFC.

They're currently EIGHT points clear at the top.

https://t.c…"
BBCNews,58,Sun Nov 05 15:57:52 +0000 2017,-0.7717,0.0,0.427,0.573,Desert Island Discs: Hillsborough activist Phil Scraton 'had death threats' https://t.co/pwQjryK3eZ
BBCNews,59,Sun Nov 05 15:50:45 +0000 2017,0.0,0.0,0.0,1.0,wi-fry! 🔥 https://t.co/7wqSEUuWsR
BBCNews,60,Sun Nov 05 14:37:50 +0000 2017,0.3867,0.111,0.0,0.889,"RT @BBCSport: GOAL! Man City 1-0 Arsenal

Petr Cech gets a touch, but it's not enough to stop Kevin De Bruyne.

https://t.co/l9uzcmUALd #MC…"
BBCNews,61,Sun Nov 05 14:26:33 +0000 2017,0.0,0.0,0.0,1.0,"RT @BBCSport: We're off.

What are your predictions for this one? Use #bbcfootball 

#MCFCvAFC
👉 https://t.co/l9uzcmUALd #bbcfootball https…"
BBCNews,62,Sun Nov 05 14:26:15 +0000 2017,0.0,0.0,0.0,1.0,"RT @BBCSport: Nine games ✅
Goals as they happen ✅
Expert analysis ✅

It's #FACup Final Score. Watch @BBCOne now. #winnerstayson #bbcfacup h…"
BBCNews,63,Sun Nov 05 14:03:55 +0000 2017,0.2023,0.184,0.0,0.816,RT @BBCSport: An important three points for Tottenham. https://t.co/isgi4pAztg
BBCNews,64,Sun Nov 05 13:41:57 +0000 2017,0.4019,0.114,0.0,0.886,"RT @BBCSport: David Moyes is interested in becoming West Ham manager.

Has he already held talks with the club?

Full details: https://t.co…"
BBCNews,65,Sun Nov 05 12:57:41 +0000 2017,0.0,0.0,0.0,1.0,RT @BBCBreaking: Ex-Catalan leader Carles Puigdemont and several former advisors turn themselves in to Belgian police https://t.co/LASvd9xP…
BBCNews,66,Sun Nov 05 12:12:31 +0000 2017,-0.6597,0.0,0.435,0.565,Fireworks display in Amesbury cancelled after 14 hurt https://t.co/MqHO0OqvPz
BBCNews,67,Sun Nov 05 12:06:29 +0000 2017,0.0,0.0,0.0,1.0,Woman's deliberate scratch snares Watford burglar https://t.co/mJ0mR4rSZw
BBCNews,68,Sun Nov 05 12:03:45 +0000 2017,-0.1232,0.0,0.058,0.942,"RT @bbc5live: Guy Fawkes joined us on 5 live this morning. He's not a fan of fireworks 🎆

(Not THE Guy Fawkes, obviously... but he may be a…"
BBCNews,69,Sun Nov 05 11:14:11 +0000 2017,-0.1779,0.122,0.154,0.724,RT @BBCScotlandNews: MSP Monica Lennon say she was sexually assaulted by a Scottish Labour colleague at a party https://t.co/ZYXA7IBnL6 htt…
BBCNews,70,Sun Nov 05 10:47:11 +0000 2017,0.2263,0.241,0.175,0.584,Briton held in Egypt over drugs made 'honest mistake' https://t.co/AltnLfFxb5
BBCNews,71,Sun Nov 05 10:25:32 +0000 2017,-0.296,0.0,0.104,0.896,"""There was no black book"" – Amber Rudd says she doesn't think whips were sitting on information about sexual harass… https://t.co/0Ewj43qpIj"
BBCNews,72,Sun Nov 05 10:23:48 +0000 2017,-0.5859,0.0,0.375,0.625,"Brexit 'threat to UK broadcasting jobs', trade body warns https://t.co/K20A9M009p"
BBCNews,73,Sun Nov 05 10:23:46 +0000 2017,0.4939,0.286,0.0,0.714,Shropshire care home resident 'in bed for a year' https://t.co/wcvV4U0y76
BBCNews,74,Sun Nov 05 10:16:10 +0000 2017,0.2263,0.091,0.0,0.909,"""It's straight out of House of Cards, isn't it?"" — Andrew #Marr asks Amber Rudd about appointment of Gavin Williams… https://t.co/LaDgqhNxx4"
BBCNews,75,Sun Nov 05 10:08:24 +0000 2017,-0.296,0.0,0.239,0.761,CBI: 'Time to stop Brexit soap opera' https://t.co/1bstW1Xdx3
BBCNews,76,Sun Nov 05 10:07:06 +0000 2017,0.0772,0.07,0.057,0.873,"RT @MarrShow: ""We must make the distinction between serious allegations and some that are just tittle tattle...we must be careful"" says @Am…"
BBCNews,77,Sun Nov 05 09:53:15 +0000 2017,-0.7506,0.0,0.225,0.775,"RT @MarrShow: ""What we've seen is the abuse of power...we are going to be making changes. It has to stop"" says @AmberRuddHR #marr https://t…"
BBCNews,78,Sun Nov 05 09:49:10 +0000 2017,-0.7351,0.0,0.408,0.592,Second teenager arrested over acid attack on London delivery driver https://t.co/xaLtb5W9p0
BBCNews,79,Sun Nov 05 09:48:22 +0000 2017,-0.5664,0.0,0.25,0.75,"RT @MarrShow: ""Trump has leadership qualities...he sees Iran as a problem, not a solution"" says @netanyahu #marr https://t.co/lgMkyCe9Ce"
BBCNews,80,Sun Nov 05 09:42:18 +0000 2017,0.0,0.0,0.0,1.0,"RT @MarrShow: ""Israel stands out as a beacon of democracy"" - Israel PM Benjamin @netanyahu tells #marr https://t.co/TesVq0SFKP"
BBCNews,81,Sun Nov 05 09:41:29 +0000 2017,-0.7184,0.0,0.261,0.739,"People shouldn't have to ""go to the press"" to complain about sexual harassment in Westminster, Conservative Anna So… https://t.co/eCks47rLFW"
BBCNews,82,Sun Nov 05 09:40:09 +0000 2017,0.5267,0.129,0.0,0.871,"RT @MarrShow: ""We should have a policy in Westminster where women don't have to be brave, it just has to be dealt with"" says @DawnButlerBre…"
BBCNews,83,Sun Nov 05 09:26:52 +0000 2017,0.7579,0.283,0.0,0.717,RT @MarrShow: .@DawnButlerBrent says Kelvin Hopkins case was resolved to the interest of both sides before he was promoted by Corbyn #marr…
BBCNews,84,Sun Nov 05 08:48:07 +0000 2017,0.2942,0.084,0.0,0.916,"RT @bbcweather: Drivers ...prepare to groan!
Your first commute of the week may require the use of the ice scraper🙈
Warm socks &amp; gloves for…"
BBCNews,85,Sun Nov 05 06:46:14 +0000 2017,-0.5423,0.0,0.304,0.696,"Sexual harassment at Welsh Assembly 'ignored', ex-AMs say https://t.co/0OeaFx4TDi"
BBCNews,86,Sun Nov 05 05:55:21 +0000 2017,0.0,0.0,0.0,1.0,Damian Green says computer porn allegations are 'political smears' https://t.co/bciWqXUHqM
BBCNews,87,Sun Nov 05 05:37:48 +0000 2017,0.4767,0.341,0.0,0.659,Lewes bonfire festivities attended by thousands https://t.co/ab5BtOeQrX
BBCNews,88,Sun Nov 05 01:17:47 +0000 2017,-0.6369,0.0,0.296,0.704,Social media giants have 'moral duty' to tackle child abuse https://t.co/2d5nY1Hnu0
BBCNews,89,Sun Nov 05 00:12:15 +0000 2017,0.0,0.0,0.0,1.0,Psychiatrist vacancies 'double in four years' in England https://t.co/z7RzlEBUiL
BBCNews,90,Sun Nov 05 00:09:15 +0000 2017,-0.2732,0.0,0.189,0.811,Budget 2017: Pubs urge Hammond to cut beer duty https://t.co/6uWURZQ7Ym
BBCNews,91,Sun Nov 05 00:09:15 +0000 2017,-0.5994,0.0,0.302,0.698,Iraq War: Gordon Brown says UK 'misled' over WMDs https://t.co/2X3YB9rfA8
BBCNews,92,Sat Nov 04 18:26:27 +0000 2017,-0.6908,0.0,0.416,0.584,Man charged over death of Chloe Miazek in Aberdeen https://t.co/aQQdYjP5FI
BBCNews,93,Sat Nov 04 17:57:34 +0000 2017,0.25,0.2,0.0,0.8,Widower's bid to fulfil Hereford sweetheart's baby dream https://t.co/6ZiUR1Sqi3
BBCNews,94,Sat Nov 04 17:56:40 +0000 2017,0.0,0.0,0.0,1.0,"RT @BBCSport: GOAL! West Ham 0-2 Liverpool

Joel Matip pokes home from close range for his second Premier League goal.

https://t.co/Vcjq0l…"
BBCNews,95,Sat Nov 04 17:19:22 +0000 2017,0.0,0.0,0.0,1.0,Trump pitches for $2 trillion Saudi Aramco oil float https://t.co/bIG2IW7zg8
BBCNews,96,Sat Nov 04 16:58:52 +0000 2017,-0.3802,0.13,0.239,0.63,"RT @BBCSport: There are some shocks around!

Boreham Wood have beaten former FA Cup winners Blackpool.

#bbcfacup 

https://t.co/qRF4uXTePE…"
BBCNews,97,Sat Nov 04 16:24:33 +0000 2017,-0.7096,0.0,0.541,0.459,Borehamwood lamppost hacked down and stolen https://t.co/pd2QAXv6yq
BBCNews,98,Sat Nov 04 16:21:15 +0000 2017,0.4588,0.243,0.096,0.662,Tatler sorry for Downton Abbey star 'fun in bed' remark https://t.co/b2Hr8dgM4y
BBCNews,99,Sat Nov 04 15:25:31 +0000 2017,0.6369,0.174,0.0,0.826,"RT @BBCSport: Celtic are surpassing their own records in British football...

Are they one of the greatest European teams?

More ➡ https://…"
BBCNews,100,Sat Nov 04 15:24:43 +0000 2017,0.128,0.169,0.149,0.683,"RT @VictoriaLIVE: ""The hate started drifting away and the love started building in my heart""

Full interview: https://t.co/zSAxk9gxcD https…"
CBSNews,1,Sun Nov 05 23:33:32 +0000 2017,0.0,0.0,0.0,1.0,"SOON: Law enforcement officials to give update on the church shooting in Sutherland Springs, Texas… https://t.co/b9okeY8pB2"
CBSNews,2,Sun Nov 05 23:30:33 +0000 2017,0.0,0.0,0.0,1.0,"WH Press sec. says Pres. Trump "" has been briefed several times"" on Texas shooting &amp; receiving regular updates… https://t.co/mKxSSd8vHQ"
CBSNews,3,Sun Nov 05 23:12:01 +0000 2017,-0.296,0.0,0.109,0.891,"Suspect in deadly Texas shooting served in the U.S. Air Force, was dishonorably discharged, CBS News has learned… https://t.co/XZIXFSvmj7"
CBSNews,4,Sun Nov 05 22:48:19 +0000 2017,-0.296,0.0,0.109,0.891,"JUST IN: Suspect in Texas church shooting has been identified as Devin Patrick Kelley, sources tell CBS News… https://t.co/25kWmP2XVf"
CBSNews,5,Sun Nov 05 22:39:01 +0000 2017,0.0,0.0,0.0,1.0,"""This guy came in around 11:15 a.m. and started shooting everybody in the church,” AG @KenPaxtonTX said on CBSN.… https://t.co/PtCWa0ZE3K"
CBSNews,6,Sun Nov 05 22:35:31 +0000 2017,0.0,0.0,0.0,1.0,"Sen. Richard Blumenthal says ""enough is enough"" after church shooting in Sutherland Springs, Texas:… https://t.co/n6zBK9aFUG"
CBSNews,7,Sun Nov 05 22:15:02 +0000 2017,-0.6705,0.0,0.2,0.8,"14-year-old daughter of First Baptist Church's pastor is among those killed in Texas shooting, mother tells CBS New… https://t.co/1UmCov9mQu"
CBSNews,8,Sun Nov 05 22:02:35 +0000 2017,-0.6705,0.0,0.2,0.8,JUST IN: Law enforcement official tells Associated Press that more than 20 people were killed in Texas shooting… https://t.co/ylsuZFKtzD
CBSNews,9,Sun Nov 05 21:58:06 +0000 2017,0.0,0.0,0.0,1.0,"""It's one of those things you don't expect to happen in small-town America,"" @HenryRamosTV says of Texas church sho… https://t.co/PXLFIxjws9"
CBSNews,10,Sun Nov 05 21:37:43 +0000 2017,0.6369,0.245,0.0,0.755,"""We stand ready to help Wilson County in any way we can,"" Attorney General @KenPaxtonTX says https://t.co/9tZPX0Mduz https://t.co/1qGoKTwYgB"
CBSNews,11,Sun Nov 05 21:36:01 +0000 2017,0.0,0.0,0.0,1.0,"""It's a small area with not a lot of law enforcement,"" @KenPaxtonTX says, adding that he expects updates soon… https://t.co/kZQh7Bao8w"
CBSNews,12,Sun Nov 05 21:33:08 +0000 2017,0.1154,0.062,0.0,0.938,"At least 15 people were shot, but that number is expected to be higher, official says. Here's what we know so far:… https://t.co/1oqt8IYocX"
CBSNews,13,Sun Nov 05 21:12:30 +0000 2017,0.0,0.0,0.0,1.0,"JUST IN: Gunman in Sutherland Springs church shooting is deceased, law enforcement official confirms to CBS News… https://t.co/SHl5n1a2CK"
CBSNews,14,Sun Nov 05 21:06:35 +0000 2017,-0.5994,0.0,0.196,0.804,"CBS affiliate @KENS5 reports that it confirmed there have been ""multiple casualties &amp; fatalities"" including childre… https://t.co/dtQ0NkAGTC"
CBSNews,15,Sun Nov 05 20:46:31 +0000 2017,-0.4767,0.0,0.162,0.838,"""Keeping all harmed in Sutherland Springs in our prayers,"" Senator @tedcruz tweets after Texas church shooting.… https://t.co/ECpfWIly9p"
CBSNews,16,Sun Nov 05 20:27:32 +0000 2017,0.0,0.0,0.0,1.0,"House Speaker @SpeakerRyan sends his prayers after shooting at Sutherland Springs, Texas church.… https://t.co/tIBMD1NCAL"
CBSNews,17,Sun Nov 05 20:25:01 +0000 2017,0.0,0.0,0.0,1.0,"JUST IN: At least 15 people shot in Sutherland Springs church shooting, law enforcement official tells CBS News… https://t.co/XUkHKBO9Jw"
CBSNews,18,Sun Nov 05 20:14:51 +0000 2017,0.3612,0.122,0.0,0.878,"""We do know there was a pursuit. It seems like it was a vehicle pursuit,"" CBS News' Pat Milton says… https://t.co/QcVbhNatVm"
CBSNews,19,Sun Nov 05 20:12:02 +0000 2017,0.0,0.0,0.0,1.0,".@POTUS tweets he is ""monitoring situation from Japan"" after shooting at Texas church that left multiple dead… https://t.co/KHZ3xjxBi3"
CBSNews,20,Sun Nov 05 20:10:01 +0000 2017,-0.296,0.0,0.121,0.879,"JUST IN: Sutherland Springs, Texas, church shooting suspect is down after a pursuit, sources tell CBS News… https://t.co/pV08GWfuYn"
CBSNews,21,Sun Nov 05 23:33:32 +0000 2017,0.0,0.0,0.0,1.0,"SOON: Law enforcement officials to give update on the church shooting in Sutherland Springs, Texas… https://t.co/b9okeY8pB2"
CBSNews,22,Sun Nov 05 23:30:33 +0000 2017,0.0,0.0,0.0,1.0,"WH Press sec. says Pres. Trump "" has been briefed several times"" on Texas shooting &amp; receiving regular updates… https://t.co/mKxSSd8vHQ"
CBSNews,23,Sun Nov 05 23:12:01 +0000 2017,-0.296,0.0,0.109,0.891,"Suspect in deadly Texas shooting served in the U.S. Air Force, was dishonorably discharged, CBS News has learned… https://t.co/XZIXFSvmj7"
CBSNews,24,Sun Nov 05 22:48:19 +0000 2017,-0.296,0.0,0.109,0.891,"JUST IN: Suspect in Texas church shooting has been identified as Devin Patrick Kelley, sources tell CBS News… https://t.co/25kWmP2XVf"
